date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name,is_elimination_game,rest_days,is_back_to_back,rolling_pts_5,opp_ga_per_game,opp_goalie_sv_pct
2022-05-06,LAK,0,2,2,3,3.0,16.3,W,8,2,3.0,first_round,2021-22,8471734,J. Quick,False,2.0,False,2.2,2.878,0.9080564058652566
2022-05-08,LAK,0,0,0,-2,3.0,21.75,L,0,4,4.0,first_round,2021-22,8471734,J. Quick,False,2.0,False,2.2,2.878,0.9070349054166545
2022-05-10,LAK,1,2,3,1,4.0,19.916666666666668,L,4,5,5.0,first_round,2021-22,8471734,J. Quick,False,2.0,False,1.4,2.878,0.9082461151304911
2022-05-12,LAK,1,2,3,3,6.0,24.03333333333333,W,4,2,6.0,first_round,2021-22,8471734,J. Quick,True,2.0,False,1.8,2.878,0.9076153500912569
2022-05-14,LAK,1,1,2,2,6.0,27.383333333333333,W,2,0,7.0,first_round,2021-22,8471734,J. Quick,True,2.0,False,2.0,2.878,0.9077813223622773
2022-05-18,CGY,1,3,4,-1,5.0,25.55,L,6,9,1.0,second_round,2021-22,8474593,J. Markstrom,False,4.0,False,2.0,2.5366,0.9185132989745687
2022-05-20,CGY,1,1,2,3,5.0,21.5,W,5,3,2.0,second_round,2021-22,8474593,J. Markstrom,False,2.0,False,2.4,2.5366,0.9173085804879751
2022-05-22,CGY,0,3,3,4,3.0,20.466666666666665,W,4,1,3.0,second_round,2021-22,8474593,J. Markstrom,False,2.0,False,2.8,2.5366,0.9167571995781213
2022-05-24,CGY,0,2,2,1,4.0,22.25,W,5,3,4.0,second_round,2021-22,8474593,J. Markstrom,False,2.0,False,2.8,2.5366,0.9164107785153806
2022-05-26,CGY,1,0,1,2,4.0,26.266666666666666,W,5,4,5.0,second_round,2021-22,8474593,J. Markstrom,False,2.0,False,2.6,2.5366,0.9157325870050272
2022-05-31,COL,1,2,3,-1,2.0,24.25,L,6,8,1.0,conf_finals,2021-22,8475311,D. Kuemper,False,5.0,False,2.4,2.8537,0.9155637483399934
2022-06-02,COL,0,0,0,-1,2.0,22.716666666666665,L,0,4,2.0,conf_finals,2021-22,8480925,P. Francouz,False,2.0,False,2.2,2.8537,0.9100916427385247
2022-06-04,COL,1,0,1,-3,4.0,26.78333333333333,L,2,4,3.0,conf_finals,2021-22,8480925,P. Francouz,False,2.0,False,1.8,2.8537,0.9113649646219665
2022-06-06,COL,1,2,3,1,5.0,26.98333333333333,L,5,6,4.0,conf_finals,2021-22,8480925,P. Francouz,True,2.0,False,1.4,2.8537,0.9117080263264611
2022-10-12,VAN,3,1,4,1,5.0,23.6,W,5,3,,regular_season,2022-23,8477967,T. Demko,False,,False,,3.6341,0.912345884293691
2022-10-15,CGY,1,0,1,-1,4.0,23.566666666666663,L,3,4,,regular_season,2022-23,8478435,D. Vladar,False,3.0,False,4.0,3.0732,0.907780629357232
2022-10-18,BUF,0,1,1,0,4.0,26.866666666666667,L,2,4,,regular_season,2022-23,8477480,E. Comrie,False,3.0,False,2.5,3.679,0.9115034857147265
2022-10-20,CAR,1,3,4,1,4.0,22.0,W,6,4,,regular_season,2022-23,8475883,F. Andersen,False,2.0,False,2.0,2.5976,0.9170550660924112
