date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name
2023-03-14,PHI,0,1,1,0,4,16.133333333333333,W,5,3,,regular_season,2022-23,8478433,F. Sandstrom
2023-03-16,CGY,0,0,0,-1,1,16.2,L,2,7,,regular_season,2022-23,8474593,J. Markstrom
2023-03-19,CBJ,3,0,3,3,4,15.116666666666667,W,7,2,,regular_season,2022-23,8480193,D. Tarasov
2023-03-21,VAN,0,0,0,0,2,18.333333333333332,W,4,3,,regular_season,2022-23,8477967,T. Demko
2023-03-23,CGY,0,1,1,0,1,18.466666666666665,W,3,2,,regular_season,2022-23,8474593,J. Markstrom
2023-03-25,EDM,1,2,3,1,4,20.616666666666667,W,4,3,,regular_season,2022-23,8479973,S. Skinner
2023-03-28,EDM,0,1,1,2,1,17.316666666666666,L,4,7,,regular_season,2022-23,8479973,S. Skinner
2023-03-30,SJS,0,1,1,-1,1,21.666666666666668,L,3,4,,regular_season,2022-23,8473503,J. Reimer
2023-04-01,MIN,0,2,2,1,5,20.1,W,4,1,,regular_season,2022-23,8470594,M. Fleury
2023-04-03,MIN,0,1,1,1,1,21.933333333333334,W,4,3,,regular_season,2022-23,8479406,F. Gustavsson
2023-04-04,NSH,0,1,1,1,5,20.116666666666667,L,2,3,,regular_season,2022-23,8480947,K. Lankinen
2023-04-06,LAK,0,1,1,0,3,18.766666666666666,W,5,2,,regular_season,2022-23,8476914,J. Korpisalo
2023-04-13,SEA,0,1,1,1,2,17.966666666666665,W,3,1,,regular_season,2022-23,8475831,P. Grubauer
2023-04-18,WPG,0,0,0,-3,2,20.483333333333334,L,1,5,1.0,first_round,2022-23,8476945,C. Hellebuyck
2023-04-20,WPG,1,0,1,1,3,18.85,W,5,2,2.0,first_round,2022-23,8476945,C. Hellebuyck
2023-04-22,WPG,2,1,3,0,7,24.733333333333334,W,5,4,3.0,first_round,2022-23,8476945,C. Hellebuyck
2023-04-24,WPG,0,0,0,0,4,21.3,W,4,2,4.0,first_round,2022-23,8476945,C. Hellebuyck
2023-04-27,WPG,0,1,1,0,1,19.183333333333334,W,4,1,5.0,first_round,2022-23,8476945,C. Hellebuyck
2023-05-03,EDM,1,1,2,1,5,18.016666666666666,W,6,4,1.0,second_round,2022-23,8479973,S. Skinner
2023-05-06,EDM,0,0,0,0,5,20.816666666666666,L,1,5,2.0,second_round,2022-23,8479973,S. Skinner
2023-05-08,EDM,1,2,3,3,3,18.4,W,5,1,3.0,second_round,2022-23,8479973,S. Skinner
2023-05-10,EDM,0,0,0,-1,5,20.583333333333332,L,1,4,4.0,second_round,2022-23,8479973,S. Skinner
2023-05-12,EDM,1,2,3,2,4,19.916666666666668,W,4,3,5.0,second_round,2022-23,8479973,S. Skinner
2023-05-14,EDM,0,1,1,4,0,17.583333333333332,W,5,2,6.0,second_round,2022-23,8479973,S. Skinner
2023-05-19,DAL,0,0,0,0,4,18.516666666666666,W,4,3,1.0,conf_finals,2022-23,8479979,J. Oettinger
2023-05-21,DAL,0,1,1,1,3,16.283333333333335,W,3,2,2.0,conf_finals,2022-23,8479979,J. Oettinger
2023-05-23,DAL,0,1,1,1,0,20.4,W,4,0,3.0,conf_finals,2022-23,8479979,J. Oettinger
2023-05-25,DAL,0,1,1,1,7,16.95,L,2,3,4.0,conf_finals,2022-23,8479979,J. Oettinger
2023-05-27,DAL,0,1,1,-1,3,20.966666666666665,L,2,4,5.0,conf_finals,2022-23,8479979,J. Oettinger
2023-05-29,DAL,0,0,0,1,3,15.55,W,6,0,6.0,conf_finals,2022-23,8479979,J. Oettinger
2023-06-03,FLA,0,2,2,1,2,21.45,W,5,2,1.0,stanley_cup_finals,2022-23,8475683,S. Bobrovsky
2023-06-05,FLA,0,2,2,2,1,13.7,W,7,2,2.0,stanley_cup_finals,2022-23,8475683,S. Bobrovsky
2023-06-08,FLA,0,1,1,0,3,21.866666666666667,L,2,3,3.0,stanley_cup_finals,2022-23,8475683,S. Bobrovsky
2023-06-10,FLA,0,0,0,-1,2,15.85,W,3,2,4.0,stanley_cup_finals,2022-23,8475683,S. Bobrovsky
2023-06-13,FLA,0,3,3,2,4,16.433333333333334,W,9,3,5.0,stanley_cup_finals,2022-23,8475683,S. Bobrovsky
2023-10-10,SEA,1,0,1,1,3,19.883333333333333,W,4,1,,regular_season,2023-24,8475831,P. Grubauer
2023-10-12,SJS,0,1,1,1,6,19.516666666666666,W,4,1,,regular_season,2023-24,8478039,K. Kahkonen
2023-10-14,ANA,1,1,2,0,8,21.266666666666666,W,4,1,,regular_season,2023-24,8476434,J. Gibson
2023-10-17,DAL,0,0,0,0,8,21.9,W,3,2,,regular_season,2023-24,8479979,J. Oettinger
2023-10-19,WPG,1,0,1,-1,3,17.7,W,5,3,,regular_season,2023-24,8476316,L. Brossoit
2023-10-21,CHI,0,1,1,2,4,19.4,W,5,3,,regular_season,2023-24,8482821,A. Soderblom
2023-10-24,PHI,0,2,2,0,4,18.25,W,3,2,,regular_season,2023-24,8479394,C. Hart
2023-10-27,CHI,0,1,1,-1,1,20.866666666666667,L,3,4,,regular_season,2023-24,8475852,P. Mrazek
2023-10-28,LAK,0,0,0,-1,4,22.983333333333334,W,4,3,,regular_season,2023-24,8475660,C. Talbot
2023-10-30,MTL,0,1,1,0,4,19.716666666666665,W,3,2,,regular_season,2023-24,8478470,S. Montembeault
2023-11-02,WPG,0,0,0,2,2,20.0,W,5,2,,regular_season,2023-24,8476945,C. Hellebuyck
2023-11-04,COL,2,0,2,1,4,20.2,W,7,0,,regular_season,2023-24,8480382,A. Georgiev
2023-11-05,ANA,1,1,2,0,4,20.633333333333333,L,2,4,,regular_season,2023-24,8476434,J. Gibson
2023-11-08,LAK,0,0,0,-1,3,20.516666666666666,L,1,4,,regular_season,2023-24,8475660,C. Talbot
2023-11-10,SJS,0,1,1,1,5,17.366666666666667,W,5,0,,regular_season,2023-24,8478039,K. Kahkonen
2023-11-14,WSH,0,0,0,-1,3,23.483333333333334,L,0,3,,regular_season,2023-24,8479292,C. Lindgren
2023-11-16,MTL,1,2,3,-1,5,25.433333333333334,W,6,5,,regular_season,2023-24,8480051,C. Primeau
2023-11-18,PHI,0,1,1,0,3,21.833333333333332,L,3,4,,regular_season,2023-24,8479394,C. Hart
2023-11-19,PIT,0,0,0,-1,2,20.266666666666666,L,0,3,,regular_season,2023-24,8477968,A. Nedeljkovic
2023-11-22,DAL,1,0,1,1,4,19.233333333333334,W,2,1,,regular_season,2023-24,8479979,J. Oettinger
2023-11-25,ARI,0,0,0,-1,8,17.916666666666668,L,0,2,,regular_season,2023-24,8478971,C. Ingram
2023-11-27,CGY,0,0,0,-1,4,22.0,L,1,2,,regular_season,2023-24,8478435,D. Vladar
2023-11-28,EDM,0,1,1,0,2,22.0,L,4,5,,regular_season,2023-24,8479973,S. Skinner
2023-11-30,VAN,1,2,3,2,6,15.116666666666667,W,4,1,,regular_season,2023-24,8477967,T. Demko
2023-12-02,WSH,1,2,3,2,3,19.133333333333333,W,4,1,,regular_season,2023-24,8475311,D. Kuemper
2023-12-04,STL,1,0,1,-1,7,20.95,L,1,2,,regular_season,2023-24,8476412,J. Binnington
2023-12-06,STL,1,1,2,-1,6,24.283333333333335,W,6,3,,regular_season,2023-24,8476412,J. Binnington
2023-12-09,DAL,0,1,1,1,4,18.066666666666666,W,6,1,,regular_season,2023-24,8479979,J. Oettinger
2023-12-10,SJS,0,1,1,0,2,23.866666666666667,W,5,4,,regular_season,2023-24,8478039,K. Kahkonen
2023-12-12,CGY,0,1,1,0,1,20.916666666666668,W,5,4,,regular_season,2023-24,8481692,D. Wolf
2023-12-15,BUF,1,0,1,-1,8,19.9,L,2,5,,regular_season,2023-24,8482221,D. Levi
2023-12-17,OTT,1,1,2,1,4,21.316666666666666,W,6,3,,regular_season,2023-24,8476914,J. Korpisalo
2023-12-19,CAR,1,0,1,-1,4,19.15,L,3,6,,regular_season,2023-24,8481611,P. Kochetkov
2023-12-21,TBL,0,2,2,0,7,22.133333333333333,L,4,5,,regular_season,2023-24,8476883,A. Vasilevskiy
2023-12-23,FLA,0,0,0,0,1,21.95,L,2,4,,regular_season,2023-24,8475683,S. Bobrovsky
2023-12-27,ANA,0,0,0,-1,3,23.916666666666668,L,2,5,,regular_season,2023-24,8476434,J. Gibson
2023-12-28,LAK,1,0,1,1,3,20.75,W,3,2,,regular_season,2023-24,8475660,C. Talbot
2024-01-01,SEA,0,0,0,0,5,20.25,L,0,3,,regular_season,2023-24,8478916,J. Daccord
2024-01-04,FLA,0,0,0,0,2,21.016666666666666,L,1,4,,regular_season,2023-24,8475683,S. Bobrovsky
2024-01-06,NYI,2,0,2,-1,5,18.333333333333332,W,5,2,,regular_season,2023-24,8478009,I. Sorokin
2024-01-10,COL,0,0,0,0,4,21.916666666666668,L,0,3,,regular_season,2023-24,8480382,A. Georgiev
2024-01-11,BOS,1,1,2,0,4,16.766666666666666,W,2,1,,regular_season,2023-24,8480280,J. Swayman
2024-03-04,CBJ,0,0,0,-1,5,19.916666666666668,L,3,6,,regular_season,2023-24,8480193,D. Tarasov
2024-03-07,VAN,0,0,0,-1,6,22.216666666666665,L,1,3,,regular_season,2023-24,8477967,T. Demko
2024-03-09,DET,0,3,3,4,3,21.483333333333334,W,5,3,,regular_season,2023-24,8473503,J. Reimer
2024-03-12,SEA,1,2,3,2,4,22.766666666666666,W,5,4,,regular_season,2023-24,8475831,P. Grubauer
2024-03-14,CGY,0,0,0,-2,5,20.916666666666668,L,1,4,,regular_season,2023-24,8481692,D. Wolf
2024-03-17,NJD,1,0,1,0,8,21.833333333333332,W,3,1,,regular_season,2023-24,8474596,J. Allen
2024-03-19,TBL,0,1,1,-1,3,19.433333333333334,L,3,5,,regular_season,2023-24,8476883,A. Vasilevskiy
2024-03-21,SEA,1,0,1,1,7,24.05,W,3,1,,regular_season,2023-24,8475831,P. Grubauer
2024-03-23,CBJ,2,0,2,0,8,17.333333333333332,W,4,2,,regular_season,2023-24,8480193,D. Tarasov
2024-03-25,STL,0,0,0,0,3,22.466666666666665,W,2,1,,regular_season,2023-24,8476412,J. Binnington
2024-03-26,NSH,0,1,1,0,7,21.15,L,4,5,,regular_season,2023-24,8477424,J. Saros
2024-03-28,WPG,1,0,1,2,4,22.016666666666666,W,4,1,,regular_season,2023-24,8476945,C. Hellebuyck
2024-03-30,MIN,0,0,0,0,5,12.833333333333334,W,2,1,,regular_season,2023-24,8479406,F. Gustavsson
2024-04-02,VAN,1,1,2,1,7,21.283333333333335,W,6,3,,regular_season,2023-24,8479193,C. DeSmith
2024-04-05,ARI,1,0,1,-1,3,21.5,L,4,7,,regular_season,2023-24,8478872,K. Vejmelka
2024-04-08,VAN,2,1,3,1,5,22.55,L,3,4,,regular_season,2023-24,8481668,A. Silovs
2024-04-10,EDM,0,0,0,-1,3,17.716666666666665,L,1,5,,regular_season,2023-24,8479973,S. Skinner
2024-04-12,MIN,1,1,2,1,3,17.65,W,7,2,,regular_season,2023-24,8470594,M. Fleury
2024-04-14,COL,0,1,1,-1,5,23.516666666666666,W,4,3,,regular_season,2023-24,8480382,A. Georgiev
