date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name
2023-01-05,SEA,0,1,1,-1,3,20.766666666666666,L,1,5,,regular_season,2022-23,8474889,M. Jones
2023-01-07,DET,0,1,1,-1,2,19.966666666666665,W,4,1,,regular_season,2022-23,8476433,M. Hellberg
2023-01-08,PHI,1,0,1,0,4,17.483333333333334,W,6,2,,regular_season,2022-23,8479394,C. Hart
2023-01-14,BOS,1,0,1,1,3,20.133333333333333,L,3,4,,regular_season,2022-23,8476999,L. Ullmark
2023-01-17,FLA,1,0,1,0,5,21.533333333333335,W,5,4,,regular_season,2022-23,8475683,S. Bobrovsky
2023-01-19,WPG,2,0,2,2,7,17.166666666666668,W,4,1,,regular_season,2022-23,8476945,C. Hellebuyck
2023-01-21,MTL,0,1,1,-1,3,19.85,L,2,3,,regular_season,2022-23,8478470,S. Montembeault
2023-01-23,NYI,1,0,1,0,5,20.433333333333334,W,5,2,,regular_season,2022-23,8478009,I. Sorokin
2023-01-25,NYR,0,0,0,0,4,21.883333333333333,W,3,2,,regular_season,2022-23,8478048,I. Shesterkin
2023-02-15,CHI,1,1,2,3,3,16.65,W,5,2,,regular_season,2022-23,8475852,P. Mrazek
2023-02-18,MTL,0,2,2,1,2,17.5,W,5,1,,regular_season,2022-23,8474596,J. Allen
2023-02-19,CHI,0,0,0,-2,5,17.233333333333334,L,3,5,,regular_season,2022-23,8483530,J. Stauber
2023-02-21,BUF,0,0,0,0,1,15.9,W,6,3,,regular_season,2022-23,8480045,U. Luukkonen
2023-02-24,MIN,0,0,0,1,2,20.416666666666668,W,2,1,,regular_season,2022-23,8479406,F. Gustavsson
2023-02-26,SEA,2,0,2,2,5,14.133333333333333,W,5,1,,regular_season,2022-23,8475831,P. Grubauer
2023-03-01,EDM,0,1,1,-1,2,20.0,L,2,5,,regular_season,2022-23,8479973,S. Skinner
2023-03-02,CGY,0,1,1,1,8,22.833333333333332,W,2,1,,regular_season,2022-23,8474593,J. Markstrom
2023-03-04,VAN,0,0,0,-2,4,18.283333333333335,L,1,4,,regular_season,2022-23,8477967,T. Demko
2023-03-07,NJD,1,0,1,-1,4,21.55,W,4,3,,regular_season,2022-23,8477970,V. Vanecek
2023-03-11,EDM,1,1,2,2,8,21.433333333333334,W,7,4,,regular_season,2022-23,8479973,S. Skinner
2023-03-13,BUF,1,2,3,3,5,23.333333333333332,L,3,4,,regular_season,2022-23,8467950,C. Anderson
2023-03-15,COL,0,0,0,1,5,26.866666666666667,L,1,2,,regular_season,2022-23,8480382,A. Georgiev
2023-03-17,CAR,1,0,1,2,5,18.95,W,5,2,,regular_season,2022-23,8481611,P. Kochetkov
2023-03-18,OTT,0,2,2,2,4,23.416666666666668,W,5,4,,regular_season,2022-23,8481544,M. Sogaard
2023-03-21,NYI,0,1,1,-2,3,17.516666666666666,L,2,7,,regular_season,2022-23,8478009,I. Sorokin
2023-03-23,FLA,2,0,2,2,4,19.383333333333333,W,6,2,,regular_season,2022-23,8475683,S. Bobrovsky
2023-03-25,CAR,2,0,2,0,15,22.316666666666666,L,3,5,,regular_season,2022-23,8481611,P. Kochetkov
2023-03-26,NSH,0,2,2,0,5,21.966666666666665,W,3,2,,regular_season,2022-23,8480947,K. Lankinen
2023-03-29,FLA,1,0,1,1,5,23.433333333333334,L,2,3,,regular_season,2022-23,8479312,A. Lyon
2023-04-01,OTT,0,0,0,0,3,23.316666666666666,W,3,0,,regular_season,2022-23,8481544,M. Sogaard
2023-04-02,DET,0,1,1,-2,6,23.45,L,2,5,,regular_season,2022-23,8477968,A. Nedeljkovic
2023-04-04,CBJ,1,0,1,0,6,19.35,W,4,2,,regular_season,2022-23,8482982,J. Greaves
2023-04-06,BOS,0,0,0,-1,6,19.75,L,1,2,,regular_season,2022-23,8480280,J. Swayman
2023-04-08,MTL,1,3,4,1,4,17.816666666666666,W,7,1,,regular_season,2022-23,8478470,S. Montembeault
2023-04-10,FLA,1,0,1,1,4,21.016666666666666,W,2,1,,regular_season,2022-23,8479312,A. Lyon
2023-04-13,NYR,0,0,0,0,3,20.55,W,3,2,,regular_season,2022-23,8470860,J. Halak
2023-04-18,TBL,0,2,2,1,2,17.833333333333332,L,3,7,1.0,first_round,2022-23,8476883,A. Vasilevskiy
2023-04-20,TBL,0,2,2,0,3,16.866666666666667,W,7,2,2.0,first_round,2022-23,8476883,A. Vasilevskiy
2023-04-22,TBL,1,0,1,2,5,24.566666666666666,W,4,3,3.0,first_round,2022-23,8476883,A. Vasilevskiy
2023-04-24,TBL,2,0,2,0,7,25.683333333333334,W,5,4,4.0,first_round,2022-23,8476883,A. Vasilevskiy
2023-04-27,TBL,1,0,1,0,3,23.933333333333334,L,2,4,5.0,first_round,2022-23,8476883,A. Vasilevskiy
2023-04-29,TBL,1,0,1,0,3,22.7,W,2,1,6.0,first_round,2022-23,8476883,A. Vasilevskiy
2023-05-02,FLA,0,1,1,0,6,24.216666666666665,L,2,4,1.0,second_round,2022-23,8475683,S. Bobrovsky
2023-05-04,FLA,0,1,1,-1,6,25.366666666666667,L,2,3,2.0,second_round,2022-23,8475683,S. Bobrovsky
2023-05-07,FLA,0,0,0,-1,2,20.366666666666667,L,2,3,3.0,second_round,2022-23,8475683,S. Bobrovsky
2023-05-10,FLA,0,0,0,1,4,20.616666666666667,W,2,1,4.0,second_round,2022-23,8475683,S. Bobrovsky
2023-05-12,FLA,0,0,0,0,8,29.466666666666665,L,2,3,5.0,second_round,2022-23,8475683,S. Bobrovsky
2023-10-11,MTL,3,0,3,2,8,24.533333333333335,W,6,5,,regular_season,2023-24,8474596,J. Allen
2023-10-14,MIN,3,0,3,1,5,19.633333333333333,W,7,4,,regular_season,2023-24,8479406,F. Gustavsson
2023-10-16,CHI,0,0,0,-2,8,25.816666666666666,L,1,4,,regular_season,2023-24,8482821,A. Soderblom
2023-10-19,FLA,0,0,0,-2,5,24.133333333333333,L,1,3,,regular_season,2023-24,8475683,S. Bobrovsky
2023-10-21,TBL,0,0,0,0,4,25.566666666666666,W,4,3,,regular_season,2023-24,8477992,J. Johansson
2023-10-24,WSH,1,1,2,1,1,18.85,W,4,1,,regular_season,2023-24,8475311,D. Kuemper
2023-10-26,DAL,0,1,1,1,3,20.083333333333332,W,4,1,,regular_season,2023-24,8475809,S. Wedgewood
2023-10-28,NSH,0,1,1,-1,4,21.833333333333332,L,2,3,,regular_season,2023-24,8477424,J. Saros
2023-10-31,LAK,0,0,0,-1,2,18.716666666666665,L,1,4,,regular_season,2023-24,8475660,C. Talbot
