goalie_id,season,date,game_type,games_started,shots_against,goals_against
8470594,2021-22,2021-11-03,2,1,32,4
8470594,2021-22,2021-11-05,2,1,33,5
8470594,2021-22,2021-11-09,2,1,44,2
8470594,2021-22,2021-11-12,2,1,23,1
8470594,2021-22,2021-11-17,2,1,33,2
8470594,2021-22,2021-11-21,2,1,40,0
8470594,2021-22,2021-11-23,2,1,37,3
8470594,2021-22,2021-11-28,2,1,21,1
8470594,2021-22,2021-12-02,2,1,28,3
8470594,2021-22,2021-12-05,2,1,24,2
8470594,2021-22,2021-12-07,2,1,29,5
8470594,2021-22,2021-12-09,2,1,30,0
8470594,2021-22,2021-12-15,2,1,46,4
8470594,2021-22,2021-12-17,2,1,31,3
8470594,2021-22,2022-01-04,2,1,33,4
8470594,2021-22,2022-01-06,2,1,25,5
8470594,2021-22,2022-01-08,2,1,31,1
8470594,2021-22,2022-01-11,2,1,26,2
8470594,2021-22,2022-01-13,2,1,29,2
8470594,2021-22,2022-01-15,2,1,37,0
8470594,2021-22,2022-01-17,2,1,37,2
8470594,2021-22,2022-01-21,2,1,13,4
8470594,2021-22,2022-01-24,2,1,29,2
8470594,2021-22,2022-01-26,2,1,33,5
8470594,2021-22,2022-01-28,2,1,25,4
8470594,2021-22,2022-01-31,2,1,31,2
8470594,2021-22,2022-02-02,2,1,30,5
8470594,2021-22,2022-02-09,2,1,41,1
8470594,2021-22,2022-02-12,2,1,31,5
8470594,2021-22,2022-02-14,2,1,32,1
8470594,2021-22,2022-02-18,2,1,29,0
8470594,2021-22,2022-02-20,2,1,23,3
8470594,2021-22,2022-02-27,2,1,35,4
8470594,2021-22,2022-03-03,2,1,32,3
8470594,2021-22,2022-03-06,2,1,32,6
8470594,2021-22,2022-03-08,2,1,32,3
8470594,2021-22,2022-03-12,2,1,23,3
8470594,2021-22,2022-03-15,2,1,48,2
8470594,2021-22,2022-03-20,2,1,31,5
8470594,2021-22,2022-03-26,2,1,25,2
8470594,2021-22,2022-03-29,2,1,33,1
8470594,2021-22,2022-04-02,2,1,38,1
8470594,2021-22,2022-04-05,2,1,32,5
8470594,2021-22,2022-04-10,2,1,34,3
8470594,2021-22,2022-04-14,2,1,36,2
8470594,2021-22,2022-04-17,2,1,30,4
8470594,2021-22,2022-04-22,2,1,28,3
8470594,2021-22,2022-04-24,2,1,25,4
8470594,2021-22,2022-04-26,2,1,25,4
8470594,2021-22,2022-04-29,2,1,28,1
8470594,2021-22,2022-05-02,3,1,31,4
8470594,2021-22,2022-05-04,3,1,34,2
8470594,2021-22,2022-05-06,3,1,30,1
8470594,2021-22,2022-05-08,3,1,33,4
8470594,2021-22,2022-05-10,3,1,31,4
8470594,2022-23,2022-10-13,2,1,35,7
8470594,2022-23,2022-10-15,2,1,14,4
8470594,2022-23,2022-10-20,2,1,26,3
8470594,2022-23,2022-10-22,2,1,43,4
8470594,2022-23,2022-10-25,2,1,27,1
8470594,2022-23,2022-10-27,2,1,29,2
8470594,2022-23,2022-10-30,2,1,26,3
8470594,2022-23,2022-11-01,2,1,35,1
8470594,2022-23,2022-11-03,2,1,23,4
8470594,2022-23,2022-11-08,2,1,30,1
8470594,2022-23,2022-11-11,2,1,28,0
8470594,2022-23,2022-11-15,2,1,25,2
8470594,2022-23,2022-11-25,2,1,28,4
8470594,2022-23,2022-11-27,2,1,23,3
8470594,2022-23,2022-12-01,2,1,21,3
8470594,2022-23,2022-12-04,2,1,35,5
8470594,2022-23,2022-12-07,2,1,26,4
8470594,2022-23,2022-12-09,2,1,37,4
8470594,2022-23,2022-12-12,2,1,21,1
8470594,2022-23,2022-12-16,2,1,30,1
8470594,2022-23,2022-12-21,2,1,22,1
8470594,2022-23,2022-12-29,2,1,42,3
8470594,2022-23,2022-12-31,2,1,31,2
8470594,2022-23,2023-01-04,2,0,0,0
8470594,2022-23,2023-01-07,2,1,37,6
8470594,2022-23,2023-01-10,2,1,43,3
8470594,2022-23,2023-01-14,2,1,28,1
8470594,2022-23,2023-01-19,2,1,29,5
8470594,2022-23,2023-01-24,2,1,38,3
8470594,2022-23,2023-01-26,2,1,30,2
8470594,2022-23,2023-01-28,2,1,31,2
8470594,2022-23,2023-02-06,2,1,36,3
8470594,2022-23,2023-02-09,2,1,23,5
8470594,2022-23,2023-02-15,2,1,19,3
8470594,2022-23,2023-02-23,2,1,30,0
8470594,2022-23,2023-02-26,2,1,24,2
8470594,2022-23,2023-03-02,2,1,22,1
8470594,2022-23,2023-03-08,2,1,48,2
8470594,2022-23,2023-03-11,2,1,37,2
8470594,2022-23,2023-03-15,2,1,36,5
8470594,2022-23,2023-03-19,2,1,36,3
8470594,2022-23,2023-03-23,2,1,34,4
8470594,2022-23,2023-03-27,2,1,36,1
8470594,2022-23,2023-04-01,2,1,42,3
8470594,2022-23,2023-04-06,2,1,31,4
8470594,2022-23,2023-04-11,2,1,20,3
8470594,2022-23,2023-04-19,3,1,31,7
8470594,2022-23,2023-04-28,3,0,6,0
8470594,2023-24,2023-10-17,2,1,28,2
8470594,2023-24,2023-10-19,2,1,25,5
8470594,2023-24,2023-10-27,2,1,33,2
8470594,2023-24,2023-10-29,2,1,30,4
8470594,2023-24,2023-11-04,2,0,14,1
8470594,2023-24,2023-11-07,2,1,29,2
8470594,2023-24,2023-11-09,2,1,27,3
8470594,2023-24,2023-11-12,2,1,37,8
8470594,2023-24,2023-11-19,2,1,25,4
8470594,2023-24,2023-12-03,2,1,29,1
8470594,2023-24,2023-12-08,2,1,40,4
8470594,2023-24,2023-12-19,2,1,43,3
8470594,2023-24,2023-12-23,2,1,21,2
8470594,2023-24,2023-12-30,2,0,10,1
8470594,2023-24,2023-12-31,2,1,29,3
8470594,2023-24,2024-01-02,2,1,32,2
8470594,2023-24,2024-01-04,2,1,29,3
8470594,2023-24,2024-01-06,2,1,29,3
8470594,2023-24,2024-01-08,2,1,20,4
8470594,2023-24,2024-01-12,2,1,35,4
8470594,2023-24,2024-01-13,2,0,15,1
8470594,2023-24,2024-01-15,2,1,21,0
8470594,2023-24,2024-01-19,2,1,11,1
8470594,2023-24,2024-02-09,2,1,36,2
8470594,2023-24,2024-02-14,2,1,26,1
8470594,2023-24,2024-02-19,2,0,8,2
8470594,2023-24,2024-02-20,2,1,29,5
8470594,2023-24,2024-02-24,2,1,32,2
8470594,2023-24,2024-03-02,2,1,26,2
8470594,2023-24,2024-03-07,2,1,25,2
8470594,2023-24,2024-03-10,2,1,30,3
8470594,2023-24,2024-03-12,2,1,23,1
8470594,2023-24,2024-03-14,2,1,16,0
8470594,2023-24,2024-03-16,2,1,37,2
8470594,2023-24,2024-03-20,2,1,16,5
8470594,2023-24,2024-03-23,2,1,27,5
8470594,2023-24,2024-04-02,2,1,32,2
8470594,2023-24,2024-04-06,2,1,25,4
8470594,2023-24,2024-04-12,2,1,30,7
8470594,2023-24,2024-04-18,2,1,26,3
8470594,2024-25,2024-10-12,2,1,34,4
8470594,2024-25,2024-10-24,2,1,26,2
8470594,2024-25,2024-10-29,2,1,29,3
8470594,2024-25,2024-11-07,2,1,26,2
8470594,2024-25,2024-11-21,2,1,31,3
8470594,2024-25,2024-11-29,2,1,23,2
8470594,2024-25,2024-12-07,2,1,32,2
8470594,2024-25,2024-12-12,2,0,9,2
8470594,2024-25,2024-12-14,2,1,22,1
8470594,2024-25,2024-12-18,2,1,33,6
8470594,2024-25,2024-12-20,2,1,18,2
8470594,2024-25,2025-01-02,2,1,31,3
8470594,2024-25,2025-01-07,2,0,15,0
8470594,2024-25,2025-01-11,2,1,37,1
8470594,2024-25,2025-01-18,2,1,37,5
8470594,2024-25,2025-01-20,2,1,27,1
8470594,2024-25,2025-01-25,2,1,29,5
8470594,2024-25,2025-01-30,2,1,19,0
8470594,2024-25,2025-02-04,2,1,34,2
8470594,2024-25,2025-02-22,2,1,30,3
8470594,2024-25,2025-02-27,2,1,31,6
8470594,2024-25,2025-03-09,2,1,21,2
8470594,2024-25,2025-03-25,2,1,37,4
8470594,2024-25,2025-04-09,2,1,31,7
8470594,2024-25,2025-04-11,2,0,3,0
8470594,2024-25,2025-04-15,2,0,5,0
8470594,2024-25,2025-04-29,3,0,7,1
8470860,2020-21,2021-01-16,2,1,31,2
8470860,2020-21,2021-01-23,2,1,17,1
8470860,2020-21,2021-01-28,2,1,17,1
8470860,2020-21,2021-02-01,2,1,26,3
8470860,2020-21,2021-02-12,2,1,21,0
8470860,2020-21,2021-02-18,2,1,26,3
8470860,2020-21,2021-02-25,2,1,37,7
8470860,2020-21,2021-03-05,2,1,32,1
8470860,2020-21,2021-03-09,2,1,27,1
8470860,2020-21,2021-03-11,2,1,27,0
8470860,2020-21,2021-03-13,2,1,33,4
8470860,2020-21,2021-03-15,2,1,25,3
8470860,2020-21,2021-03-18,2,1,24,1
8470860,2020-21,2021-03-25,2,0,21,4
8470860,2020-21,2021-03-28,2,1,29,1
8470860,2020-21,2021-03-30,2,1,35,4
8470860,2020-21,2021-04-03,2,1,28,5
8470860,2020-21,2021-04-23,2,0,5,1
8470860,2020-21,2021-05-04,2,1,21,4
8470860,2021-22,2021-10-16,2,1,20,2
8470860,2021-22,2021-10-28,2,1,28,2
8470860,2021-22,2021-11-09,2,1,30,3
8470860,2021-22,2021-11-11,2,0,9,1
8470860,2021-22,2021-11-14,2,1,37,4
8470860,2021-22,2021-11-28,2,1,42,3
8470860,2021-22,2021-12-14,2,1,23,3
8470860,2021-22,2021-12-30,2,1,35,1
8470860,2021-22,2022-01-31,2,1,21,1
8470860,2021-22,2022-02-09,2,1,12,5
8470860,2021-22,2022-02-19,2,0,11,2
8470860,2021-22,2022-02-28,2,1,14,6
8470860,2021-22,2022-03-19,2,0,15,1
8470860,2021-22,2022-03-23,2,1,33,1
8470860,2021-22,2022-03-28,2,1,28,3
8470860,2021-22,2022-04-07,2,1,28,1
8470860,2021-22,2022-04-19,2,1,14,0
8470860,2022-23,2022-10-14,2,1,33,3
8470860,2022-23,2022-10-23,2,1,21,5
8470860,2022-23,2022-10-26,2,1,29,3
8470860,2022-23,2022-11-06,2,1,36,3
8470860,2022-23,2022-11-12,2,1,18,2
8470860,2022-23,2022-11-23,2,1,22,3
8470860,2022-23,2022-11-30,2,1,35,1
8470860,2022-23,2022-12-03,2,1,20,4
8470860,2022-23,2022-12-17,2,1,32,3
8470860,2022-23,2023-01-01,2,1,35,3
8470860,2022-23,2023-01-05,2,1,18,1
8470860,2022-23,2023-01-16,2,1,25,1
8470860,2022-23,2023-01-27,2,1,34,1
8470860,2022-23,2023-02-06,2,1,32,4
8470860,2022-23,2023-02-11,2,1,29,2
8470860,2022-23,2023-02-18,2,1,32,3
8470860,2022-23,2023-02-23,2,1,23,4
8470860,2022-23,2023-02-25,2,0,5,1
8470860,2022-23,2023-03-02,2,1,33,4
8470860,2022-23,2023-03-12,2,1,35,3
8470860,2022-23,2023-03-19,2,1,22,0
8470860,2022-23,2023-03-25,2,1,34,3
8470860,2022-23,2023-03-31,2,1,34,3
