date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,is_elimination_game,rest_days,is_back_to_back,rolling_pts_5,opp_ga_per_game
2022-04-26,PIT,0,1,1,0,2,19.05,W,5,1,,regular_season,2021-22,False,2.0,False,1.2,2.7927
2022-04-28,SJS,0,1,1,-1,3,22.58333333333333,W,5,4,,regular_season,2021-22,False,2.0,False,0.8,3.2195
2022-05-02,LAK,1,0,1,0,5,22.566666666666663,L,3,4,1.0,first_round,2021-22,False,4.0,False,1.0,2.878
2022-05-04,LAK,1,0,1,0,4,15.166666666666666,W,6,0,2.0,first_round,2021-22,False,2.0,False,1.0,2.878
2022-05-06,LAK,1,1,2,1,1,14.95,W,8,2,3.0,first_round,2021-22,False,2.0,False,1.0,2.878
2022-05-08,LAK,0,0,0,-2,1,21.633333333333333,L,0,4,4.0,first_round,2021-22,False,2.0,False,1.2,2.878
2022-05-10,LAK,2,1,3,-2,3,20.616666666666667,L,4,5,5.0,first_round,2021-22,False,2.0,False,1.0,2.878
2022-05-12,LAK,0,1,1,0,2,18.416666666666668,W,4,2,6.0,first_round,2021-22,True,2.0,False,1.4,2.878
2022-05-14,LAK,0,1,1,2,1,22.633333333333333,W,2,0,7.0,first_round,2021-22,True,2.0,False,1.4,2.878
2022-05-18,CGY,1,2,3,-2,4,21.98333333333333,L,6,9,1.0,second_round,2021-22,False,4.0,False,1.4,2.5366
2022-05-20,CGY,1,2,3,3,3,23.266666666666666,W,5,3,2.0,second_round,2021-22,False,2.0,False,1.6,2.5366
2022-05-22,CGY,0,4,4,4,4,21.616666666666667,W,4,1,3.0,second_round,2021-22,False,2.0,False,2.2,2.5366
2022-05-24,CGY,0,3,3,1,1,20.616666666666667,W,5,3,4.0,second_round,2021-22,False,2.0,False,2.4,2.5366
2022-05-26,CGY,0,4,4,2,2,25.8,W,5,4,5.0,second_round,2021-22,False,2.0,False,2.8,2.5366
2022-05-31,COL,0,2,2,-1,4,23.35,L,6,8,1.0,conf_finals,2021-22,False,5.0,False,3.4,2.8537
2022-06-02,COL,0,0,0,-1,3,19.5,L,0,4,2.0,conf_finals,2021-22,False,2.0,False,3.2,2.8537
2022-06-04,COL,0,0,0,-2,2,24.48333333333333,L,2,4,3.0,conf_finals,2021-22,False,2.0,False,2.6,2.8537
2022-06-06,COL,0,4,4,1,4,25.35,L,5,6,4.0,conf_finals,2021-22,True,2.0,False,1.8,2.8537
2022-10-12,VAN,1,2,3,0,1,21.766666666666666,W,5,3,,regular_season,2022-23,False,,False,,3.6341
2022-10-15,CGY,0,2,2,1,3,25.016666666666666,L,3,4,,regular_season,2022-23,False,3.0,False,3.0,3.0732
2022-10-18,BUF,0,1,1,-1,4,23.366666666666667,L,2,4,,regular_season,2022-23,False,3.0,False,2.5,3.679
2022-10-20,CAR,1,1,2,1,6,23.883333333333333,W,6,4,,regular_season,2022-23,False,2.0,False,2.0,2.5976
2022-10-22,STL,0,0,0,-1,3,21.183333333333334,L,0,2,,regular_season,2022-23,False,2.0,False,2.0,3.6707
2022-10-24,PIT,1,2,3,2,4,17.283333333333335,W,6,3,,regular_season,2022-23,False,2.0,False,1.6,3.2195
2022-10-26,STL,0,1,1,1,3,24.633333333333333,W,3,1,,regular_season,2022-23,False,2.0,False,1.6,3.6707
2022-10-27,CHI,1,2,3,0,3,22.116666666666667,W,6,5,,regular_season,2022-23,False,1.0,True,1.4,3.6707
2022-10-29,CGY,0,1,1,-1,2,21.98333333333333,W,3,2,,regular_season,2022-23,False,2.0,False,1.8,3.0732
2022-11-01,NSH,1,4,5,1,3,23.1,W,7,4,,regular_season,2022-23,False,3.0,False,1.6,2.8889
2022-11-03,NJD,1,0,1,-1,4,21.216666666666665,L,3,4,,regular_season,2022-23,False,2.0,False,2.6,2.7561
2022-11-05,DAL,1,0,1,1,3,20.08333333333333,L,2,6,,regular_season,2022-23,False,2.0,False,2.2,2.6585
2022-11-07,WSH,1,1,2,3,4,21.133333333333333,L,4,5,,regular_season,2022-23,False,2.0,False,2.2,3.2317
2022-11-08,TBL,1,0,1,-2,4,21.5,W,3,2,,regular_season,2022-23,False,1.0,True,2.0,3.0976
2022-11-10,CAR,0,1,1,-2,4,21.416666666666668,L,2,7,,regular_season,2022-23,False,2.0,False,2.0,2.5976
2022-11-12,FLA,0,1,1,1,5,23.55,W,4,2,,regular_season,2022-23,False,2.0,False,1.2,3.3293
2022-11-16,LAK,0,0,0,-1,1,20.35,L,1,3,,regular_season,2022-23,False,4.0,False,1.2,3.1341
2022-11-19,VGK,1,1,2,2,1,23.48333333333333,W,4,3,,regular_season,2022-23,False,3.0,False,1.0,2.7927
2022-11-21,NJD,1,0,1,-1,4,22.883333333333333,L,2,5,,regular_season,2022-23,False,2.0,False,1.0,2.7561
2022-11-23,NYI,0,0,0,-2,5,22.683333333333334,L,0,3,,regular_season,2022-23,False,2.0,False,1.0,2.7073
2022-11-26,NYR,1,0,1,-1,3,24.883333333333333,W,4,3,,regular_season,2022-23,False,3.0,False,0.8,2.6707
2022-11-28,FLA,1,0,1,2,3,24.1,W,4,3,,regular_season,2022-23,False,2.0,False,0.8,3.3293
2022-11-30,CHI,2,1,3,2,6,26.216666666666665,W,5,4,,regular_season,2022-23,False,2.0,False,1.0,3.6707
2022-12-01,MIN,1,1,2,1,2,20.08333333333333,L,3,5,,regular_season,2022-23,False,1.0,True,1.2,2.7439
2022-12-03,MTL,1,3,4,1,3,22.633333333333333,W,5,3,,regular_season,2022-23,False,2.0,False,1.4,3.7439
2022-12-05,WSH,0,0,0,-2,1,23.05,L,2,3,,regular_season,2022-23,False,2.0,False,2.2,3.2317
2022-12-07,ARI,1,1,2,2,1,17.666666666666668,W,8,2,,regular_season,2022-23,False,2.0,False,2.0,3.6463
2022-12-09,MIN,1,1,2,1,3,20.35,W,5,2,,regular_season,2022-23,False,2.0,False,2.2,2.7439
2022-12-12,MIN,0,0,0,-1,1,24.15,L,1,2,,regular_season,2022-23,False,3.0,False,2.0,2.7439
2022-12-13,NSH,2,3,5,2,5,18.633333333333333,W,6,3,,regular_season,2022-23,False,1.0,True,1.6,2.8889
2022-12-15,STL,0,1,1,-2,3,28.716666666666665,L,3,4,,regular_season,2022-23,False,2.0,False,1.8,3.6707
2022-12-17,ANA,0,2,2,-2,4,26.916666666666668,L,3,4,,regular_season,2022-23,False,2.0,False,2.0,4.122
2022-12-19,NSH,0,0,0,-2,4,21.78333333333333,L,3,4,,regular_season,2022-23,False,2.0,False,2.0,2.8889
2022-12-21,DAL,0,1,1,0,3,17.166666666666668,W,6,3,,regular_season,2022-23,False,2.0,False,1.6,2.6585
2022-12-23,VAN,0,1,1,1,4,22.316666666666663,L,2,5,,regular_season,2022-23,False,2.0,False,1.8,3.6341
2022-12-27,CGY,0,1,1,1,5,19.166666666666668,W,2,1,,regular_season,2022-23,False,4.0,False,1.0,3.0732
2023-01-03,SEA,0,1,1,-1,1,23.616666666666667,L,2,5,,regular_season,2022-23,False,7.0,False,1.0,3.122
2023-01-05,NYI,1,1,2,0,8,21.95,W,4,2,,regular_season,2022-23,False,2.0,False,0.8,2.7073
2023-01-07,COL,0,2,2,0,0,27.416666666666668,L,2,3,,regular_season,2022-23,False,2.0,False,1.2,2.7531
2023-01-09,LAK,0,0,0,0,1,22.28333333333333,L,3,6,,regular_season,2022-23,False,2.0,False,1.4,3.1341
2023-01-11,ANA,1,0,1,0,4,16.566666666666666,W,6,2,,regular_season,2022-23,False,2.0,False,1.2,4.122
2023-01-13,SJS,1,2,3,0,5,18.33333333333333,W,7,1,,regular_season,2022-23,False,2.0,False,1.2,3.9146
2023-01-14,VGK,2,0,2,0,4,20.1,W,4,3,,regular_season,2022-23,False,1.0,True,1.6,2.7927
2023-01-17,SEA,0,2,2,3,0,22.0,W,5,2,,regular_season,2022-23,False,3.0,False,1.6,3.122
2023-01-19,TBL,1,1,2,-2,1,22.766666666666666,W,5,3,,regular_season,2022-23,False,2.0,False,1.6,3.0976
2023-01-21,VAN,1,0,1,1,1,18.08333333333333,W,4,2,,regular_season,2022-23,False,2.0,False,2.0,3.6341
