date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name
2023-01-13,SJS,1,2,3,0,5,18.333333333333332,W,7,1,,regular_season,2022-23,8478039,K. Kahkonen
2023-01-14,VGK,2,0,2,0,4,20.1,W,4,3,,regular_season,2022-23,8480313,L. Thompson
2023-01-17,SEA,0,2,2,3,0,22.0,W,5,2,,regular_season,2022-23,8474889,M. Jones
2023-01-19,TBL,1,1,2,-2,1,22.766666666666666,W,5,3,,regular_season,2022-23,8476883,A. Vasilevskiy
2023-01-21,VAN,1,0,1,1,1,18.083333333333332,W,4,2,,regular_season,2022-23,8477484,S. Martin
2023-01-25,CBJ,0,0,0,-2,2,24.366666666666667,L,2,3,,regular_season,2022-23,8476914,J. Korpisalo
2023-01-28,CHI,1,2,3,2,3,17.933333333333334,W,7,3,,regular_season,2022-23,8475852,P. Mrazek
2023-02-07,DET,0,0,0,-2,0,20.116666666666667,W,5,2,,regular_season,2022-23,8478024,V. Husso
2023-02-09,PHI,0,0,0,-1,0,21.2,L,1,2,,regular_season,2022-23,8479394,C. Hart
2023-02-11,OTT,0,2,2,1,8,23.3,W,6,3,,regular_season,2022-23,8476341,A. Forsberg
2023-02-12,MTL,1,0,1,-3,4,22.383333333333333,L,2,6,,regular_season,2022-23,8474596,J. Allen
2023-02-15,DET,1,0,1,-1,4,24.233333333333334,L,4,5,,regular_season,2022-23,8478024,V. Husso
2023-02-17,NYR,1,0,1,-1,3,22.683333333333334,L,4,5,,regular_season,2022-23,8478048,I. Shesterkin
2023-02-19,COL,1,0,1,-1,4,25.066666666666666,L,5,6,,regular_season,2022-23,8480382,A. Georgiev
2023-02-21,PHI,1,2,3,0,1,21.583333333333332,W,4,2,,regular_season,2022-23,8479394,C. Hart
2023-02-23,PIT,1,1,2,0,2,17.5,W,7,2,,regular_season,2022-23,8477465,T. Jarry
2023-02-25,CBJ,1,0,1,1,5,24.383333333333333,L,5,6,,regular_season,2022-23,8476914,J. Korpisalo
2023-02-27,BOS,0,1,1,-1,1,22.433333333333334,L,2,3,,regular_season,2022-23,8480280,J. Swayman
2023-03-01,TOR,0,1,1,0,1,21.416666666666668,W,5,2,,regular_season,2022-23,8478492,I. Samsonov
2023-03-03,WPG,2,1,3,3,3,21.416666666666668,W,6,3,,regular_season,2022-23,8476945,C. Hellebuyck
