date,opponent,goals,assists,points,plus_minus,SOG,TOI,result,team_score,opp_score,game_number,game_context,season,opp_goalie_id,opp_goalie_name
2022-10-25,CGY,0,0,0,0,3,20.5,L,1,4,,regular_season,2022-23,8474593,J. Markstrom
2022-10-28,VAN,0,0,0,-2,3,23.4,L,1,5,,regular_season,2022-23,8477484,S. Martin
2022-10-29,SEA,0,0,0,0,4,22.55,L,1,3,,regular_season,2022-23,8474889,M. Jones
2022-11-01,BOS,1,0,1,1,3,25.066666666666666,L,5,6,,regular_season,2022-23,8476999,L. Ullmark
2022-11-02,BUF,0,0,0,-4,2,17.8,L,3,6,,regular_season,2022-23,8477480,E. Comrie
2022-11-05,SEA,1,1,2,0,2,20.05,L,2,3,,regular_season,2022-23,8474889,M. Jones
2022-11-09,WSH,0,1,1,2,2,20.7,W,4,1,,regular_season,2022-23,8475311,D. Kuemper
2022-11-11,TOR,0,1,1,0,0,19.833333333333332,W,4,2,,regular_season,2022-23,8478902,E. Kallgren
2022-11-12,MTL,0,0,0,-2,1,21.416666666666668,L,4,5,,regular_season,2022-23,8474596,J. Allen
2022-11-15,TOR,1,0,1,-4,2,20.533333333333335,L,2,5,,regular_season,2022-23,8476899,M. Murray
2022-11-17,MIN,2,2,4,0,3,18.616666666666667,W,6,4,,regular_season,2022-23,8479406,F. Gustavsson
2022-11-19,WPG,0,2,2,2,2,19.066666666666666,W,3,0,,regular_season,2022-23,8476945,C. Hellebuyck
2022-11-20,CHI,1,3,4,2,2,17.55,W,5,3,,regular_season,2022-23,8482821,A. Soderblom
2022-11-23,CGY,0,0,0,0,1,22.183333333333334,W,2,1,,regular_season,2022-23,8478435,D. Vladar
2022-11-25,PHI,1,0,1,1,5,15.533333333333333,W,4,1,,regular_season,2022-23,8479394,C. Hart
2022-11-26,TOR,0,1,1,0,2,16.566666666666666,L,1,4,,regular_season,2022-23,8478902,E. Kallgren
2022-11-29,CAR,1,1,2,1,4,21.3,L,2,3,,regular_season,2022-23,8481611,P. Kochetkov
2022-12-01,VGK,0,1,1,1,3,19.616666666666667,W,4,3,,regular_season,2022-23,8480313,L. Thompson
2022-12-03,STL,1,0,1,1,8,21.45,W,6,2,,regular_season,2022-23,8476412,J. Binnington
2022-12-06,CBJ,2,0,2,1,4,20.716666666666665,W,4,1,,regular_season,2022-23,8478007,E. Merzlikins
2022-12-09,BUF,0,0,0,0,2,21.633333333333333,W,4,3,,regular_season,2022-23,8467950,C. Anderson
2022-12-10,BUF,2,1,3,2,4,18.8,W,3,1,,regular_season,2022-23,8480045,U. Luukkonen
2022-12-12,DAL,0,0,0,-1,2,19.0,W,2,1,,regular_season,2022-23,8479979,J. Oettinger
2022-12-15,FLA,0,2,2,0,5,19.15,W,4,2,,regular_season,2022-23,8475683,S. Bobrovsky
2022-12-18,CAR,0,0,0,-1,3,21.633333333333333,L,2,3,,regular_season,2022-23,8481611,P. Kochetkov
2022-12-20,NYR,1,1,2,0,1,19.016666666666666,W,3,2,,regular_season,2022-23,8478048,I. Shesterkin
2022-12-22,CAR,1,0,1,0,3,20.05,L,3,4,,regular_season,2022-23,8477293,A. Raanta
2022-12-27,NYI,0,0,0,-1,2,18.233333333333334,L,1,5,,regular_season,2022-23,8478009,I. Sorokin
2022-12-28,DET,0,0,0,-3,2,20.783333333333335,L,4,5,,regular_season,2022-23,8478024,V. Husso
2022-12-30,NJD,0,0,0,-2,1,25.416666666666668,L,2,4,,regular_season,2022-23,8477970,V. Vanecek
2023-01-02,BOS,0,0,0,0,2,23.85,L,1,2,,regular_season,2022-23,8476999,L. Ullmark
2023-01-05,VGK,1,1,2,1,4,19.9,L,2,5,,regular_season,2022-23,8478499,A. Hill
2023-01-08,ARI,0,2,2,2,2,21.383333333333333,W,4,1,,regular_season,2022-23,8478872,K. Vejmelka
2023-01-10,VAN,1,0,1,0,2,22.066666666666666,W,5,4,,regular_season,2022-23,8477484,S. Martin
2023-01-13,WPG,0,0,0,0,0,18.183333333333334,L,1,4,,regular_season,2022-23,8479496,D. Rittich
2023-01-14,CAR,0,0,0,0,4,21.566666666666666,L,1,2,,regular_season,2022-23,8475883,F. Andersen
2023-01-16,ANA,0,1,1,2,2,20.516666666666666,W,4,3,,regular_season,2022-23,8476434,J. Gibson
2023-01-18,OTT,0,3,3,0,0,19.666666666666668,L,4,5,,regular_season,2022-23,8475660,C. Talbot
2023-01-20,OTT,0,1,1,1,4,17.766666666666666,W,4,1,,regular_season,2022-23,8475660,C. Talbot
2023-01-22,NJD,1,0,1,1,3,18.2,L,1,2,,regular_season,2022-23,8477970,V. Vanecek
2023-01-24,FLA,1,2,3,0,4,20.833333333333332,W,7,6,,regular_season,2022-23,8479312,A. Lyon
2023-01-26,WSH,0,1,1,1,5,21.066666666666666,L,2,3,,regular_season,2022-23,8475311,D. Kuemper
2023-01-28,SJS,1,1,2,-2,3,21.85,L,4,6,,regular_season,2022-23,8478039,K. Kahkonen
2023-02-07,COL,0,1,1,1,2,20.183333333333334,W,2,1,,regular_season,2022-23,8480925,P. Francouz
2023-02-10,ANA,0,1,1,1,7,21.733333333333334,W,6,3,,regular_season,2022-23,8476434,J. Gibson
2023-02-11,LAK,0,0,0,0,1,14.933333333333334,L,0,6,,regular_season,2022-23,8477831,P. Copley
2023-02-14,SJS,0,3,3,2,2,19.616666666666667,W,3,1,,regular_season,2022-23,8477180,A. Dell
2023-02-17,NYI,1,1,2,1,4,19.066666666666666,L,4,5,,regular_season,2022-23,8478009,I. Sorokin
2023-02-18,NJD,0,0,0,-3,5,22.1,L,2,5,,regular_season,2022-23,8477970,V. Vanecek
2023-02-20,NYI,0,1,1,0,4,20.45,L,2,4,,regular_season,2022-23,8478009,I. Sorokin
2023-02-23,EDM,0,1,1,-1,2,18.766666666666666,L,2,7,,regular_season,2022-23,8479973,S. Skinner
2023-02-25,STL,0,0,0,0,4,18.7,W,3,2,,regular_season,2022-23,8476412,J. Binnington
2023-02-26,TBL,1,1,2,0,1,17.75,W,7,3,,regular_season,2022-23,8470880,B. Elliott
2023-02-28,NSH,1,0,1,2,4,20.95,W,3,1,,regular_season,2022-23,8477424,J. Saros
2023-03-02,TBL,0,1,1,0,2,20.783333333333335,W,5,4,,regular_season,2022-23,8476883,A. Vasilevskiy
2023-03-04,FLA,0,0,0,-1,5,19.216666666666665,L,1,4,,regular_season,2022-23,8475683,S. Bobrovsky
2023-03-07,CBJ,1,2,3,1,4,23.833333333333332,W,5,4,,regular_season,2022-23,8478007,E. Merzlikins
2023-03-09,NYI,0,1,1,0,4,20.25,L,3,4,,regular_season,2022-23,8478009,I. Sorokin
2023-03-11,PHI,1,0,1,1,5,18.7,W,5,1,,regular_season,2022-23,8479394,C. Hart
2023-03-12,NYR,0,2,2,0,8,19.483333333333334,W,3,2,,regular_season,2022-23,8470860,J. Halak
2023-03-14,MTL,0,1,1,-2,1,21.25,L,4,6,,regular_season,2022-23,8478470,S. Montembeault
2023-03-16,NYR,0,2,2,-1,3,18.116666666666667,L,2,4,,regular_season,2022-23,8478048,I. Shesterkin
2023-03-18,NYR,0,0,0,-2,0,18.45,L,0,6,,regular_season,2022-23,8478048,I. Shesterkin
2023-03-20,OTT,0,0,0,0,2,22.283333333333335,L,1,2,,regular_season,2022-23,8480263,D. Ferguson
2023-03-22,COL,1,0,1,1,5,19.833333333333332,W,5,2,,regular_season,2022-23,8480382,A. Georgiev
2023-03-23,DAL,1,0,1,1,7,19.166666666666668,L,2,3,,regular_season,2022-23,8479979,J. Oettinger
2023-03-25,WSH,0,0,0,0,4,22.616666666666667,W,4,3,,regular_season,2022-23,8475311,D. Kuemper
2023-03-28,DET,0,0,0,-1,2,23.516666666666666,L,4,7,,regular_season,2022-23,8477968,A. Nedeljkovic
2023-03-30,NSH,0,0,0,0,9,20.883333333333333,W,2,0,,regular_season,2022-23,8477424,J. Saros
2023-04-01,BOS,0,1,1,3,2,22.233333333333334,L,3,4,,regular_season,2022-23,8480280,J. Swayman
2023-04-02,PHI,0,2,2,1,3,21.433333333333334,W,4,2,,regular_season,2022-23,8481035,S. Ersson
2023-04-04,NJD,0,0,0,-1,3,18.45,L,1,5,,regular_season,2022-23,8477970,V. Vanecek
2023-04-06,MIN,0,0,0,1,0,17.983333333333334,W,4,1,,regular_season,2022-23,8470594,M. Fleury
2023-04-08,DET,2,1,3,2,4,19.216666666666665,W,5,1,,regular_season,2022-23,8478024,V. Husso
2023-04-11,CHI,0,0,0,-2,8,23.15,L,2,5,,regular_season,2022-23,8475852,P. Mrazek
2023-04-13,CBJ,0,2,2,0,1,18.183333333333334,L,2,3,,regular_season,2022-23,8474636,M. Hutchinson
2023-10-10,CHI,1,0,1,-2,4,18.466666666666665,L,2,4,,regular_season,2023-24,8475852,P. Mrazek
2023-10-13,WSH,2,0,2,0,5,17.716666666666665,W,4,0,,regular_season,2023-24,8479292,C. Lindgren
2023-10-14,CGY,0,1,1,2,3,18.066666666666666,W,5,2,,regular_season,2023-24,8474593,J. Markstrom
2023-10-18,DET,0,1,1,1,3,21.5,L,3,6,,regular_season,2023-24,8478024,V. Husso
2023-10-21,STL,0,0,0,-2,3,19.95,L,2,4,,regular_season,2023-24,8476412,J. Binnington
2023-10-24,DAL,0,1,1,0,3,19.166666666666668,L,1,4,,regular_season,2023-24,8479979,J. Oettinger
2023-10-26,COL,1,0,1,1,4,15.133333333333333,W,4,0,,regular_season,2023-24,8480382,A. Georgiev
2023-10-28,OTT,1,1,2,0,3,18.6,L,2,5,,regular_season,2023-24,8476914,J. Korpisalo
2023-10-30,ANA,0,1,1,-2,11,23.083333333333332,L,3,4,,regular_season,2023-24,8476434,J. Gibson
2023-11-04,SJS,0,1,1,4,1,16.15,W,10,2,,regular_season,2023-24,8478406,M. Blackwood
2023-11-07,ANA,1,0,1,1,4,18.6,W,2,0,,regular_season,2023-24,8476434,J. Gibson
2023-11-09,LAK,1,1,2,1,3,19.783333333333335,W,4,3,,regular_season,2023-24,8477831,P. Copley
2023-11-11,BUF,0,1,1,1,4,19.566666666666666,W,4,0,,regular_season,2023-24,8480045,U. Luukkonen
2023-11-14,CBJ,3,1,4,3,3,17.5,W,5,3,,regular_season,2023-24,8478007,E. Merzlikins
2023-11-16,NJD,0,1,1,1,3,19.866666666666667,L,2,5,,regular_season,2023-24,8477970,V. Vanecek
